County,State,CountyFIPS,Diabetes_Number,Obesity_Number,Physical_Inactivity_Number,sex and age_total population_65 years and over_sex ratio (males per 100 females),race_total population,race_total population_one race,race_total population_two or more races,race_total population_one race_1,race_total population_one race_white,race_total population_one race_black or african american,race_total population_one race_american indian and alaska native,race_total population_one race_american indian and alaska native_cherokee tribal grouping,race_total population_one race_american indian and alaska native_chippewa tribal grouping,race_total population_one race_american indian and alaska native_navajo tribal grouping,race_total population_one race_american indian and alaska native_sioux tribal grouping,race_total population_one race_asian,race_total population_one race_asian_asian indian,race_total population_one race_asian_chinese,race_total population_one race_asian_filipino,race_total population_one race_asian_japanese,race_total population_one race_asian_korean,race_total population_one race_asian_vietnamese,race_total population_one race_asian_other asian,race_total population_one race_native hawaiian and other pacific islander,race_total population_one race_native hawaiian and other pacific islander_native hawaiian,race_total population_one race_native hawaiian and other pacific islander_guamanian or chamorro,race_total population_one race_native hawaiian and other pacific islander_samoan,race_total population_one race_native hawaiian and other pacific islander_other pacific islander,race_total population_one race_some other race,race_total population_two or more races_1,race_total population_two or more races_white and black or african american,race_total population_two or more races_white and american indian and alaska native,race_total population_two or more races_white and asian,race_total population_two or more races_black or african american and american indian and alaska native,race alone or in combination with one or more other races_total population,race alone or in combination with one or more other races_total population_white,race alone or in combination with one or more other races_total population_black or african american,race alone or in combination with one or more other races_total population_american indian and alaska native,race alone or in combination with one or more other races_total population_asian,race alone or in combination with one or more other races_total population_native hawaiian and other pacific islander,race alone or in combination with one or more other races_total population_some other race,hispanic or latino and race_total population,hispanic or latino and race_total population_hispanic or latino (of any race),hispanic or latino and race_total population_hispanic or latino (of any race)_mexican,hispanic or latino and race_total population_hispanic or latino (of any race)_puerto rican,hispanic or latino and race_total population_hispanic or latino (of any race)_cuban,hispanic or latino and race_total population_hispanic or latino (of any race)_other hispanic or latino,hispanic or latino and race_total population_not hispanic or latino,hispanic or latino and race_total population_not hispanic or latino_white alone,hispanic or latino and race_total population_not hispanic or latino_black or african american alone,hispanic or latino and race_total population_not hispanic or latino_american indian and alaska native alone,hispanic or latino and race_total population_not hispanic or latino_asian alone,hispanic or latino and race_total population_not hispanic or latino_native hawaiian and other pacific islander alone,hispanic or latino and race_total population_not hispanic or latino_some other race alone,hispanic or latino and race_total population_not hispanic or latino_two or more races,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races including some other race,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races excluding some other race -  and three or more races,total housing units,citizen -  voting age population_citizen -  18 and over population,citizen -  voting age population_citizen -  18 and over population_male,citizen -  voting age population_citizen -  18 and over population_female,sex and age_total population,sex and age_total population_male,sex and age_total population_female,sex and age_total population_sex ratio (males per 100 females),sex and age_total population_under 5 years,sex and age_total population_5 to 9 years,sex and age_total population_10 to 14 years,sex and age_total population_15 to 19 years,sex and age_total population_20 to 24 years,sex and age_total population_25 to 34 years,sex and age_total population_35 to 44 years,sex and age_total population_45 to 54 years,sex and age_total population_55 to 59 years,sex and age_total population_60 to 64 years,sex and age_total population_65 to 74 years,sex and age_total population_75 to 84 years,sex and age_total population_85 years and over,sex and age_total population_median age (years),sex and age_total population_under 18 years,sex and age_total population_16 years and over,sex and age_total population_18 years and over,sex and age_total population_21 years and over,sex and age_total population_62 years and over,sex and age_total population_65 years and over,sex and age_total population_18 years and over_1,sex and age_total population_18 years and over_male,sex and age_total population_18 years and over_female,sex and age_total population_18 years and over_sex ratio (males per 100 females),sex and age_total population_65 years and over_1,sex and age_total population_65 years and over_male,sex and age_total population_65 years and over_female
Gunnison County,Colorado,08051,408,1871,1579,113.6,16537,16188,349,16188,15748,103,162,0,10,23,0,83,0,0,0,0,44,9,30,22,22,0,0,0,70,349,79,59,119,0,16537,16073,254,259,249,22,90,16537,1532,1232,34,46,220,15005,14418,65,119,83,22,26,272,5,267,11854,13197,7216,5981,16537,8983,7554,118.9,744,825,820,1395,2200,2422,2079,1941,940,1127,1411,462,171,34.5,2929,14008,13608,12389,2596,2044,13608,7424,6184,120.1,2044,1087,957
Hinsdale County,Colorado,08053,63,150,138,95.9,878,865,13,865,831,0,24,4,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,7,13,4,0,9,0,878,844,4,24,12,0,7,878,51,49,0,0,2,827,792,0,19,3,0,0,13,0,13,1469,736,340,396,878,406,472,86,38,18,45,39,13,58,75,108,104,139,163,59,19,57.5,139,754,739,738,336,241,739,343,396,86.6,241,118,123
Huerfano County,Colorado,08055,515,1440,1241,104.1,6583,6466,117,6466,6199,38,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,117,0,41,67,0,6583,6307,38,165,67,0,123,6583,2274,1375,3,0,896,4309,4186,20,25,0,0,10,68,0,68,5229,5419,2722,2697,6583,3305,3278,100.8,165,378,394,175,301,510,648,702,726,551,1173,602,258,55.1,1063,5576,5520,5380,2443,2033,5520,2757,2763,99.8,2033,1037,996
Jackson County,Colorado,08057,116,268,321,75.6,1296,1291,5,1291,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,5,0,5,0,0,1296,1216,0,5,0,0,80,1296,254,191,0,0,63,1042,1037,0,0,0,0,0,5,0,5,1315,1001,499,502,1296,631,665,94.9,83,53,86,60,46,146,93,153,161,127,165,104,19,50.9,248,1056,1048,999,359,288,1048,525,523,100.4,288,124,164
Jefferson County,Colorado,08059,27649,95055,59364,81.8,570427,555145,15282,555145,517644,6639,4162,246,92,684,543,16243,1724,3546,1390,1424,1559,3978,2622,257,61,31,0,165,10200,15282,2713,3724,3799,43,570427,531939,10073,9111,21400,1245,13492,570427,87153,61552,2129,1173,22299,483274,446868,5977,2691,15960,228,923,10627,449,10178,238711,437982,216103,221879,570427,283919,286508,99.1,29991,32157,33061,33454,32776,81672,75393,79745,43348,40123,53812,24496,10399,40.4,115926,468288,454501,435260,111198,88707,454501,224509,229992,97.6,88707,39908,48799
Kiowa County,Colorado,08061,90,294,308,74.8,1449,1355,94,1355,1333,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,94,44,47,0,0,1449,1427,61,47,0,3,5,1449,78,64,0,0,14,1371,1260,17,0,0,0,0,94,0,94,785,1028,481,547,1449,750,699,107.3,153,74,122,102,47,167,117,156,139,87,126,115,44,40.4,417,1082,1032,982,332,285,1032,485,547,88.7,285,122,163
Kit Carson County,Colorado,08063,574,1655,1121,86.5,7635,7558,77,7558,6885,195,33,0,17,3,0,25,0,0,5,0,0,0,20,38,11,27,0,0,382,77,19,4,2,0,7635,6961,214,39,28,40,431,7635,1466,1253,20,3,190,6169,5852,195,31,25,38,2,26,0,26,3548,5361,2813,2548,7635,4158,3477,119.6,389,556,543,418,343,1102,919,966,488,533,734,422,222,38.5,1791,6025,5844,5675,1705,1378,5844,3178,2666,119.2,1378,639,739
La Plata County,Colorado,08067,2313,7880,5841,98.3,55101,53673,1428,53673,48385,261,3435,85,29,1529,27,341,5,135,76,38,29,19,39,13,13,0,0,0,1238,1428,155,848,220,14,55101,49769,454,4359,576,17,1403,55101,7028,3308,183,68,3469,48073,43382,238,2856,329,13,27,1228,45,1183,27442,43894,21970,21924,55101,27790,27311,101.8,2845,2985,3004,3555,3441,7658,7242,7134,4211,4392,5710,2014,910,39.9,10565,45680,44536,42065,11223,8634,44536,22329,22207,100.5,8634,4281,4353
Lake County,Colorado,08065,478,1615,966,115.0,7585,7455,130,7455,6532,8,44,0,0,0,29,95,36,10,36,13,0,0,0,31,31,0,0,0,745,130,41,0,80,0,7585,6662,58,53,175,31,745,7585,2346,1713,30,0,603,5239,4997,8,15,95,3,0,121,0,121,4800,5817,3122,2695,7585,4176,3409,122.5,324,434,242,439,681,1301,1138,1108,486,546,673,93,120,37.8,1267,6524,6318,6140,1237,886,6318,3447,2871,120.1,886,474,412
Larimer County,Colorado,08069,14195,55019,30545,84.4,338161,327629,10532,327629,309269,3275,2322,181,27,116,430,7505,1473,2543,574,608,1013,496,798,309,206,19,44,40,4949,10532,1970,2566,2999,221,338161,318942,6059,5824,11337,767,6675,338161,38323,28910,929,315,8169,299838,280122,3035,1640,7357,290,375,7019,254,6765,145672,261010,129023,131987,338161,168615,169546,99.5,17736,18524,20109,23816,36815,48610,41104,38741,22295,20824,30442,13506,5639,35.9,67812,278231,270349,250317,61579,49587,270349,134012,136337,98.3,49587,22698,26889
Las Animas County,Colorado,08071,1460,3529,3028,90.1,14179,13510,669,13510,12117,121,506,4,0,215,0,104,68,8,4,0,0,11,13,0,0,0,0,0,662,669,90,306,53,14,14179,12754,236,875,176,4,848,14179,5963,3050,50,14,2849,8216,7471,104,293,104,0,12,232,15,217,8544,11123,5843,5280,14179,7452,6727,110.8,622,736,736,865,798,1709,1473,1707,1133,1147,1948,982,323,46.1,2547,11923,11632,11073,3947,3253,11632,6141,5491,111.8,3253,1542,1711
Lincoln County,Colorado,08073,302,1297,1063,88.7,5548,5481,67,5481,4812,532,55,0,0,0,2,37,1,7,0,7,3,18,1,25,0,0,0,25,20,67,29,35,0,0,5548,4876,561,90,40,28,20,5548,1203,239,5,36,923,4345,3668,524,53,37,25,2,36,0,36,2046,4239,2748,1491,5548,3471,2077,167.1,305,360,263,228,320,934,837,647,419,284,492,286,173,37.9,1110,4575,4438,4386,1107,951,4438,2881,1557,185,951,447,504
Logan County,Colorado,08075,1672,6073,3753,80.5,21689,20699,990,20699,20060,202,105,0,17,44,5,164,0,64,1,35,0,8,56,0,0,0,0,0,168,990,625,200,41,53,21689,20988,896,402,234,0,199,21689,3443,2905,17,10,511,18246,16870,198,95,164,0,10,909,0,909,9098,16331,9073,7258,21689,11708,9981,117.3,1713,965,1198,1667,1410,2858,2562,2886,1199,1584,1931,985,731,38.4,4637,17547,17052,15839,4558,3647,17052,9395,7657,122.7,3647,1627,2020
Mesa County,Colorado,08077,9828,29408,17072,82.7,149998,146905,3093,146905,141076,1033,1283,412,0,134,60,1409,66,396,350,152,187,15,243,410,135,0,248,27,1694,3093,762,870,475,37,149998,144005,1914,2290,2018,674,2342,149998,21629,11586,348,182,9513,128369,122306,931,939,1401,362,169,2261,40,2221,65878,114232,55805,58427,149998,74027,75971,97.4,8723,9503,9307,10083,9713,19828,17336,17730,10719,10154,15443,7853,3606,39.1,33006,120743,116992,109695,32860,26902,116992,57108,59884,95.4,26902,12179,14723
Mineral County,Colorado,08079,61,113,115,90.8,823,804,19,804,728,18,9,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,44,19,0,0,3,0,823,731,18,19,14,0,60,823,79,2,2,0,75,744,714,16,0,5,0,0,9,6,3,1324,745,363,382,823,402,421,95.5,12,38,16,14,27,80,62,115,79,130,136,91,23,58.6,78,750,745,737,339,250,745,363,382,95,250,119,131
Moffat County,Colorado,08081,786,1927,2013,86.3,13060,12711,349,12711,12330,150,104,0,0,38,0,0,0,0,0,0,0,0,0,28,0,0,0,28,99,349,21,150,57,40,13060,12573,226,317,115,56,137,13060,1983,1689,78,0,216,11077,10597,131,97,0,28,0,224,0,224,6282,9299,4644,4655,13060,6698,6362,105.3,840,910,996,831,636,1691,1772,1658,853,1057,1172,529,115,37.8,3381,10109,9679,9406,2434,1816,9679,4848,4831,100.4,1816,841,975
Montezuma County,Colorado,08083,2543,5591,3916,89.9,25909,25360,549,25360,21054,52,3248,2,10,1185,23,57,0,10,47,0,0,0,0,10,0,0,0,10,939,549,80,340,15,0,25909,21547,188,3588,72,32,1031,25909,3222,1927,23,59,1213,22687,18827,44,3233,57,10,23,493,66,427,12313,19888,9722,10166,25909,12760,13149,97,1524,1656,1619,1397,1485,2754,2626,3301,2029,2165,3282,1408,663,44.4,5799,20679,20110,19408,6511,5353,20110,9781,10329,94.7,5353,2534,2819
Montrose County,Colorado,08085,2591,6361,6020,86.5,41268,40561,707,40561,38909,155,429,47,17,22,0,373,9,30,69,17,55,82,111,101,0,60,0,41,594,707,118,214,157,0,41268,39582,347,751,582,163,720,41268,8476,7201,62,0,1213,32792,31394,146,317,323,79,57,476,16,460,18857,30954,15134,15820,41268,20374,20894,97.5,2312,2491,2663,2549,1876,4260,4434,5115,3145,3174,5323,2936,990,45.1,9090,33205,32178,30848,11110,9249,32178,15705,16473,95.3,9249,4291,4958
Morgan County,Colorado,08087,1883,7020,4355,79.6,28257,27269,988,27269,24964,954,112,9,7,3,15,166,9,129,6,5,0,17,0,37,0,0,26,11,1036,988,21,277,71,0,28257,25925,1025,412,260,83,1563,28257,10147,8765,80,38,1264,18110,16593,905,66,166,37,0,343,18,325,11718,18244,8891,9353,28257,14112,14145,99.8,2072,2162,1963,1924,1781,3769,3192,3530,1758,1786,2304,1502,514,36.3,7419,21640,20838,19876,5347,4320,20838,10325,10513,98.2,4320,1914,2406
Otero County,Colorado,08089,1685,4658,3213,81.0,18325,17906,419,17906,16346,251,293,59,0,58,0,186,15,88,5,0,4,48,26,16,6,10,0,0,814,419,22,176,13,4,18325,16743,340,538,213,20,984,18325,7637,6273,51,0,1313,10688,9864,248,121,179,16,116,144,0,144,9004,13342,6199,7143,18325,8872,9453,93.9,1095,1226,1220,1441,1072,1936,2184,2043,1102,1390,1937,1263,416,40.2,4289,14617,14036,13178,4442,3616,14036,6674,7362,90.7,3616,1618,1998
Ouray County,Colorado,08091,274,816,665,106.9,4722,4677,45,4677,4599,0,50,0,0,0,0,21,0,0,0,21,0,0,0,4,0,4,0,0,3,45,38,7,0,0,4722,4644,38,57,21,4,3,4722,201,176,0,0,25,4521,4401,0,50,21,4,0,45,0,45,3208,3976,1945,2031,4722,2312,2410,95.9,158,141,276,159,148,436,548,664,334,573,899,251,135,53,690,4110,4032,3958,1626,1285,4032,1989,2043,97.4,1285,664,621
Park County,Colorado,08093,840,2756,2566,110.4,17392,17072,320,17072,16467,49,291,117,0,0,0,157,0,0,29,49,35,0,44,19,0,0,0,19,89,320,26,130,70,0,17392,16753,75,455,287,113,89,17392,1051,896,19,0,136,16341,15507,24,277,142,19,59,313,0,313,14449,14146,7493,6653,17392,9172,8220,111.6,827,764,909,862,484,1445,2044,2855,2078,1802,2529,598,195,50.6,3009,14699,14383,13962,4291,3322,14383,7559,6824,110.8,3322,1743,1579
Phillips County,Colorado,08095,302,991,729,96.3,4318,4234,84,4234,4158,12,11,11,0,0,0,15,0,10,0,0,5,0,0,0,0,0,0,0,38,84,0,57,6,0,4318,4242,12,68,21,21,38,4318,944,888,0,0,56,3374,3267,8,11,15,0,0,73,0,73,1915,2865,1592,1273,4318,2295,2023,113.4,245,314,365,314,231,500,439,534,276,307,376,296,121,39,1109,3327,3209,2974,976,793,3209,1735,1474,117.7,793,389,404
Pitkin County,Colorado,08097,586,2194,1833,119.3,17909,17654,255,17654,16316,297,22,0,0,0,0,270,0,29,142,0,57,0,42,0,0,0,0,0,749,255,41,110,60,0,17909,16571,349,132,341,0,782,17909,1777,1026,86,33,632,16132,15317,266,8,266,0,106,169,0,169,13794,13806,7329,6477,17909,9408,8501,110.7,823,819,776,741,1102,2861,2234,2608,1323,1539,2112,735,236,42,2874,15391,15035,14649,4003,3083,15035,7925,7110,111.5,3083,1677,1406
Prowers County,Colorado,08099,1075,3054,1774,80.0,12052,11890,162,11890,11429,134,160,0,0,0,0,41,0,4,18,3,0,16,0,0,0,0,0,0,126,162,27,77,0,0,12052,11560,188,237,72,28,129,12052,4532,4175,2,0,355,7520,7172,134,54,41,0,0,119,0,119,5976,8177,3880,4297,12052,6035,6017,100.3,811,795,908,910,797,1312,1339,1410,952,752,1183,589,294,38,3031,9333,9021,8419,2419,2066,9021,4445,4576,97.1,2066,918,1148
Pueblo County,Colorado,08101,12411,38457,28815,82.4,164685,158179,6506,158179,131054,3535,6141,581,12,781,169,1497,127,346,334,139,240,45,266,65,45,0,0,20,15887,6506,1148,2148,953,191,164685,136808,5104,9015,2868,382,17475,164685,70637,46111,1548,349,22629,94048,86059,2795,969,1116,27,232,2850,81,2769,70928,123882,59834,64048,164685,80962,83723,96.7,9637,10092,11310,11104,10648,21067,19269,20090,11074,11160,16670,8883,3681,38.9,37702,131204,126983,120272,35825,29234,126983,61748,65235,94.7,29234,13207,16027
Rio Blanco County,Colorado,08103,303,1076,854,101.9,6465,6147,318,6147,6038,25,39,11,0,0,0,6,0,0,0,0,6,0,0,16,0,16,0,0,23,318,128,106,0,0,6465,6338,187,191,23,22,73,6465,650,469,13,0,168,5815,5482,25,39,6,16,3,244,0,244,3382,4691,2400,2291,6465,3291,3174,103.7,421,579,453,425,421,821,733,760,506,411,530,305,100,35.9,1663,4944,4802,4407,1090,935,4802,2449,2353,104.1,935,472,463
Rio Grande County,Colorado,08105,932,2425,1949,92.9,11351,11131,220,11131,10344,98,306,5,0,240,0,24,0,3,0,0,2,19,0,8,5,3,0,0,351,220,83,67,0,0,11351,10563,181,374,24,8,421,11351,5046,3065,15,0,1966,6305,5920,45,220,24,5,24,67,0,67,6770,8294,4109,4185,11351,5696,5655,100.7,693,734,738,784,737,1249,1188,1449,810,826,1252,668,223,41.5,2659,9111,8692,8124,2607,2143,8692,4265,4427,96.3,2143,1032,1111
Routt County,Colorado,08107,1072,3256,2066,104.4,24874,24624,250,24624,23601,193,150,60,0,22,12,259,0,83,1,43,43,51,38,5,0,0,5,0,416,250,45,55,87,0,24874,23840,254,210,373,21,447,24874,1740,1198,36,21,485,23134,22270,193,116,259,5,95,196,0,196,16694,19542,10254,9288,24874,12915,11959,108,1054,1358,1202,1629,1320,3887,3565,3498,2073,1829,2445,755,259,39.8,4626,20919,20248,19384,4496,3459,20248,10591,9657,109.7,3459,1767,1692
Saguache County,Colorado,08109,705,1376,1334,103.1,6468,6263,205,6263,5944,0,170,48,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,205,1,59,0,18,6468,6119,119,359,12,0,164,6468,2366,1632,16,0,718,4102,3785,0,157,0,0,0,160,0,160,4079,4628,2348,2280,6468,3182,3286,96.8,327,431,413,392,207,574,627,851,651,614,940,348,93,49.1,1412,5198,5056,4882,1817,1381,5056,2541,2515,101,1381,701,680
San Juan County,Colorado,08111,47,125,115,83.1,544,544,0,544,537,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,537,0,7,0,0,0,544,48,43,0,0,5,496,489,0,7,0,0,0,0,0,0,743,475,255,220,544,283,261,108.4,15,9,35,10,11,82,47,78,31,74,101,40,11,52.1,69,485,475,464,197,152,475,255,220,115.9,152,69,83
San Miguel County,Colorado,08113,230,1052,1005,120.6,7968,7836,132,7836,7617,16,42,15,0,8,0,101,10,57,26,0,5,0,3,0,0,0,0,0,60,132,19,36,70,0,7968,7742,42,85,171,0,67,7968,820,510,0,28,282,7148,6885,16,42,91,0,25,89,0,89,6838,6089,3257,2832,7968,4215,3753,112.3,320,431,510,294,437,1390,1150,1197,688,556,782,184,29,41.5,1461,6650,6507,6377,1311,995,6507,3465,3042,113.9,995,544,451
Sedgwick County,Colorado,08115,203,457,494,79.9,2350,2295,55,2295,2165,30,17,0,0,0,0,36,0,2,5,10,15,2,2,0,0,0,0,0,47,55,5,5,18,0,2350,2220,39,22,54,0,74,2350,319,251,9,0,59,2031,1934,30,3,36,0,0,28,0,28,1261,1771,877,894,2350,1162,1188,97.8,154,139,160,151,52,176,269,271,223,147,268,208,132,49.1,539,1863,1811,1727,699,608,1811,899,912,98.6,608,270,338
Summit County,Colorado,08117,1032,3941,2593,112.1,30429,29836,593,29836,27530,285,75,50,0,1,0,150,0,100,22,3,0,6,19,130,74,22,34,0,1666,593,37,221,8,0,30429,28095,544,375,308,200,1701,30429,4352,3189,95,37,1031,26077,25032,261,75,144,109,32,424,0,424,30911,23393,12738,10655,30429,16684,13745,121.4,1310,1275,1612,1392,1969,5603,4846,4529,2189,2103,2696,835,70,39.1,5031,26020,25398,24486,5003,3601,25398,14021,11377,123.2,3601,1903,1698
Teller County,Colorado,08119,1405,4544,2921,107.4,24113,23561,552,23561,22823,191,110,0,0,0,0,244,39,46,58,63,0,31,7,8,8,0,0,0,185,552,75,316,102,0,24113,23358,270,447,346,37,211,24113,1532,847,32,25,628,22581,21495,191,110,244,8,7,526,0,526,13126,19478,9934,9544,24113,12157,11956,101.7,978,1202,1317,1299,1105,2095,2511,3625,2716,2390,3586,999,290,49.9,4368,20223,19745,19184,6319,4875,19745,10000,9745,102.6,4875,2524,2351
Washington County,Colorado,08121,495,1085,1049,92.7,4840,4784,56,4784,4636,67,14,0,0,0,0,22,0,0,7,0,15,0,0,0,0,0,0,0,45,56,38,12,1,0,4840,4692,105,26,23,0,50,4840,474,384,5,0,85,4366,4229,53,14,22,0,0,48,0,48,2406,3642,1856,1786,4840,2510,2330,107.7,244,277,365,298,289,576,545,567,364,371,491,332,121,41.6,1108,3877,3732,3640,1079,944,3732,1899,1833,103.6,944,454,490
Weld County,Colorado,08123,16262,62836,40091,87.6,295123,286742,8381,286742,267514,3431,2032,360,38,76,249,4327,399,597,251,340,332,473,1935,280,41,129,0,110,9158,8381,1123,2565,1270,92,295123,274971,5312,5279,6479,1072,11298,295123,86322,71862,1166,761,12533,208801,194813,3259,1017,4181,258,326,4947,167,4780,106198,200860,99713,101147,295123,148627,146496,101.5,21588,22907,21705,21150,19008,43994,39765,36525,17551,16626,21404,9393,3507,34.3,78590,224773,216533,202979,43657,34304,216533,108393,108140,100.2,34304,16017,18287
Yuma County,Colorado,08125,592,2178,1527,79.0,10069,9947,122,9947,9353,238,51,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,305,122,0,40,28,0,10069,9475,238,102,39,0,348,10069,2311,2166,2,20,123,7758,7579,89,41,0,0,3,46,0,46,4525,6571,3217,3354,10069,5019,5050,99.4,773,802,791,497,586,1237,1103,1258,557,636,1010,529,290,38.4,2701,7643,7368,7092,2225,1829,7368,3674,3694,99.5,1829,807,1022
Fairfield County,Connecticut,09001,51013,149134,121430,75.5,944348,916741,27607,916741,691642,107215,2338,138,10,0,0,49927,20338,11518,4058,2073,2569,2391,6980,487,101,81,98,207,65132,27607,7051,1491,6647,898,944348,713212,120328,6527,58929,1670,73461,944348,182653,24538,54868,3992,99255,761695,588974,99412,1257,49375,309,5416,16952,1666,15286,370999,628212,296780,331432,944348,459963,484385,95,52574,59389,64482,66790,59323,107787,119081,143949,69263,58291,78299,43213,21907,40.3,216907,754186,727441,690308,176241,143419,727441,349223,378218,92.3,143419,61710,81709
Hartford County,Connecticut,09003,69361,185510,142237,73.6,894730,865077,29653,865077,639528,122103,2945,229,48,33,20,46577,22017,7382,1783,857,2499,3751,8288,356,49,25,43,239,53568,29653,9400,2518,4618,1349,894730,662202,139412,9217,54017,1274,61457,894730,157785,9204,110852,3019,34710,736945,553425,114565,1398,46327,176,2673,18381,1428,16953,378700,649318,308812,340506,894730,434650,460080,94.5,47822,50037,57152,59109,58164,116956,109393,126551,65287,56999,80616,43084,23560,40.4,190571,728562,704159,668856,180977,147260,704159,337333,366826,92,147260,62417,84843
Litchfield County,Connecticut,09005,11786,38580,27463,83.3,183031,179589,3442,179589,170083,3528,356,11,0,0,0,3394,724,796,518,27,419,437,473,6,0,6,0,0,2222,3442,735,647,791,137,183031,173099,4623,1300,4336,195,3150,183031,10941,1131,3167,363,6280,172090,162898,2863,305,3361,6,179,2478,191,2287,88153,142753,69836,72917,183031,90447,92584,97.7,7556,9476,10175,11002,10070,18234,19490,29247,16315,15010,21244,9824,5388,47.2,34394,153270,148637,142948,44872,36456,148637,72657,75980,95.6,36456,16567,19889
Middlesex County,Connecticut,09007,10828,34675,23694,78.7,163368,160111,3257,160111,144844,8654,264,91,0,0,0,5020,1692,1308,377,80,382,231,950,8,0,0,0,8,1321,3257,1007,645,767,38,163368,147842,9993,1147,6073,132,1742,163368,9835,921,4662,558,3694,153533,137696,8050,118,4956,0,140,2573,24,2549,76124,128192,61865,66327,163368,79676,83692,95.2,6871,7695,9314,10435,10261,17942,18189,25505,14261,11843,17780,8597,4675,45.4,30095,137404,133273,126631,37564,31052,133273,64278,68995,93.2,31052,13673,17379
New Haven County,Connecticut,09009,66864,189178,142171,73.8,859339,831971,27368,831971,634586,113737,1540,273,23,0,31,34161,11266,8779,2446,785,2878,2301,5706,219,75,56,61,27,47728,27368,9236,2736,4423,1646,859339,656321,128245,7099,40604,1117,54966,859339,151361,15525,90174,2978,42684,707978,546120,106325,823,33850,164,2240,18456,1135,17321,366266,635454,299715,335739,859339,414311,445028,93.1,44747,46921,52114,59427,60278,113690,101320,120783,60833,56815,79037,40745,22629,40.1,176925,705188,682414,643292,174698,142411,682414,323818,358596,90.3,142411,60488,81923
New London County,Connecticut,09011,20388,63331,42720,81.2,268881,254498,14383,254498,216974,15760,1477,50,36,0,16,11087,2478,4528,1571,201,497,418,1394,74,14,25,12,23,9126,14383,3649,2794,2178,929,268881,229344,23243,7152,14046,771,11265,268881,27762,2821,14793,537,9611,241119,204185,14219,1294,10972,74,380,9995,304,9691,123001,207081,103274,103807,268881,134703,134178,100.4,13469,13813,15989,17143,20246,34643,30057,38114,20231,18856,26535,13800,5985,41.4,53209,221822,215672,204428,56889,46320,215672,107484,108188,99.3,46320,20756,25564
Tolland County,Connecticut,09013,9089,30407,20755,85.6,151269,147635,3634,147635,133656,4621,67,10,0,0,0,7037,2440,2687,275,67,728,290,550,0,0,0,0,0,2254,3634,1257,672,722,76,151269,137041,6469,1247,7954,27,2692,151269,8086,1109,4427,381,2169,143183,128603,4299,59,7013,0,298,2911,34,2877,59418,119716,59528,60188,151269,75821,75448,100.5,6132,7148,8182,14944,18993,16096,15534,21011,10852,9972,13133,6778,2494,37.5,27005,128117,124264,109076,28268,22405,124264,61943,62321,99.4,22405,10334,12071
Windham County,Connecticut,09015,9837,27708,21451,79.4,116538,112452,4086,112452,103567,2644,711,0,0,0,0,1614,294,456,158,62,102,54,488,23,6,0,17,0,3893,4086,1213,1313,457,5,116538,107496,4774,2862,2191,69,4100,116538,13368,2134,9200,19,2015,103170,96795,2084,66,1552,23,95,2555,39,2516,49644,90253,43971,46282,116538,57560,58978,97.6,5812,6527,6727,8332,8155,14500,13959,16978,9128,8163,10770,4938,2549,41.3,23519,96042,93019,87108,22885,18257,93019,45433,47586,95.5,18257,8082,10175
Kent County,Delaware,10001,18134,50226,40417,79.9,174822,167326,7496,167326,115960,44292,1143,142,8,0,0,3509,638,921,1007,189,329,125,300,59,19,2,33,5,2363,7496,3126,575,1119,623,174822,121875,49371,2836,5575,643,2978,174822,12180,2609,5039,354,4178,162642,108687,42782,982,3470,46,465,6210,31,6179,70576,129661,61657,68004,174822,84271,90551,93.1,10991,10856,11964,11886,13068,23406,20347,22293,11942,9608,16821,8830,2810,37.6,40611,138560,134211,126297,34029,28461,134211,63698,70513,90.3,28461,12643,15818
New Castle County,Delaware,10003,44328,126818,103783,76.1,555133,541286,13847,541286,358183,138608,1434,322,6,61,0,30593,14661,7424,2501,376,1756,1271,2604,182,92,17,23,50,12286,13847,6634,993,2186,769,555133,369973,147760,4086,33703,566,14079,555133,54071,23511,18880,1216,10464,501062,322261,135169,1184,30385,168,821,11074,426,10648,222146,404657,192274,212383,555133,268870,286263,93.9,32547,32950,34542,37406,37221,80135,68641,77130,39392,33729,47381,23735,10324,38.1,121184,448732,433949,409114,100669,81440,433949,207397,226552,91.5,81440,35186,46254
